Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
DROP TABLE `Payment`,,1,0,0,138271.40,138271.40,138271.40,0,0.0,0,0.0,0,0,0,0,9173179e8edfdff66cb5615de65dea9271884e2ffaedbd78ebd42797090934fd
SHOW VARIABLES,*,6,0,0,136790.10,36752.20,22798.30,3930,655.0,3930,655.0,6,0,0,0,9959c56ef11ca3c143a80d199705b5128cb5dfbbdc967225c4bd603595738aab
ALTER TABLE `bookings` DROP COLUMN `Customer_Name`,,1,0,0,121654.30,121654.30,121654.30,0,0.0,0,0.0,0,0,0,0,2ca7bfba67fad23ff7cc8e89ad3a004edd5d91f31e8fb09d48974c7b99a52781
SELECT `st` . * FROM `performance_schema` . `events_statements_current` `st` JOIN `performance_schema` . `threads` `thr` ON `thr` . `thread_id` = `st` . `thread_id` WHERE `thr` . `processlist_id` = ?,,105,0,0,117577.80,19190.10,1119.70,105,1.0,210,2.0,0,0,0,0,b31742f7d23c9cd7e41466837a9bf595201427497601718ac456e68040146a54
SHOW SESSION STATUS LIKE ?,*,17,0,0,115600.70,18290.40,6800.00,17,1.0,17,1.0,17,0,0,0,a6d9f012d38e1935c116c75354d30af403211c7d7a130d43e103838581b78717
"CREATE TABLE `Trigger_Phone_Update` ( `old_phone` VARCHARACTER (?) , `new_phone` VARCHARACTER (?) , CONSTRAINT `PK_Trigger` PRIMARY KEY ( `old_phone` , `new_phone` ) )",,3,2,0,103950.40,78578.10,34650.10,0,0.0,0,0.0,0,0,0,0,d9d8ea3cd23278ba334d7139cdf1976f6e820c92695320d833d9ff88e522a5ce
"INSERT INTO `sjsu_rental_database` . `amenities_provided` VALUES (...) /* , ... */",,8,1,0,103510.50,24013.80,12938.80,0,0.0,0,0.0,0,0,0,0,67cf484fae7e8fb5136bc3e38506cf20db81576a43a397889c459624db50a726
"CREATE TABLE `Payment` ( `Payment_ID` INTEGER , `Customer_ID` INTEGER , `Booking_ID` INTEGER , `Payment_Mode` VARCHARACTER (?) NOT NULL , `Comments` VARCHARACTER (?) , FOREIGN KEY ( `Customer_ID` ) REFERENCES `Customer` ( `Customer_ID` ) , FOREIGN KEY ( `Booking_ID` ) REFERENCES `Bookings` ( `Booking_ID` ) , CONSTRAINT `PK_Payment` PRIMARY KEY ( `Payment_ID` , `Customer_ID` , `Booking_ID` ) )",,1,0,0,101676.60,101676.60,101676.60,0,0.0,0,0.0,0,0,0,0,e1f3fcaca166836f3eecb58a697682f4879f9554b544b74bdf5b168693a8bad8
SHOW FUNCTION STATUS WHERE `Db` = ?,,47,0,0,93553.90,3971.00,1990.50,0,0.0,94,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
"CREATE TABLE `Bookings` ( `Booking_ID` INTEGER PRIMARY KEY NOT NULL UNIQUE , `Customer_ID` INTEGER NOT NULL , `Customer_Name` VARCHARACTER (?) NOT NULL , `Listing_ID` INTEGER NOT NULL , `Unit_Alloted` VARCHARACTER (?) NOT NULL , `Price_Incurred` DECIMAL (...) NOT NULL , `Booking_From` DATETIME NOT NULL , `Booking_To` DATETIME NOT NULL , `Booking_Category` VARCHARACTER (?) NOT NULL , `Payment_ID` VARCHARACTER (?) NOT NULL UNIQUE )",,1,0,0,90648.40,90648.40,90648.40,0,0.0,0,0.0,0,0,0,0,27520a058044ae6e5ec1af4fb21c917b540b71335541c8ef2771a3d9b0bb8876
INSERT INTO `sjsu_rental_database` . `listings` VALUES (...),,8,0,0,87291.10,23824.20,10911.30,0,0.0,0,0.0,0,0,0,0,5d92f56b287fc2361a3ad53452a29ca73a85ad69d4b60b1e10f90300b1ff04b7
"CREATE TABLE `Amenities_Provided` ( `Listing_ID` INTEGER NOT NULL , `Amenities_ID` INTEGER NOT NULL , FOREIGN KEY ( `Amenities_ID` ) REFERENCES `Amenities` ( `Amenities_ID` ) , FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ) , CONSTRAINT `PK_Amenities_Prov` PRIMARY KEY ( `Listing_ID` , `Amenities_ID` ) )",,1,0,0,86962.60,86962.60,86962.60,0,0.0,0,0.0,0,0,0,0,87aace188ee839bcdf7e3f9545f59c3c9c2fd87c6319bf81919a0b927a91c10a
SHOW FULL FIELDS FROM `hw_4` . `author`,,17,0,0,83289.90,11026.80,4899.40,68,4.0,357,21.0,17,0,68,0,eab9a3ece7f222f4099c905e33136fe0b5298ec1b5ffae65b6d45eddf4e9a84b
SHOW FULL FIELDS FROM `sjsu_rental_database` . `listings`,,15,0,0,80758.60,9352.30,5383.90,555,37.0,2295,153.0,15,0,555,0,30dd9d15f8e44a7d7125f888dbbd3e650945f3cafc3ada4a0ed57f0cf19495fc
"CREATE TABLE HOST ( `Host_ID` INTEGER PRIMARY KEY NOT NULL UNIQUE , NAME VARCHARACTER (?) NOT NULL , `Age` INTEGER NOT NULL , `Gender` CHARACTER (?) NOT NULL , `Unit_no` VARCHARACTER (?) NOT NULL , `Street_Address` VARCHARACTER (?) NOT NULL , `City` VARCHARACTER (?) NOT NULL , `Zip_code` VARCHARACTER (?) NOT NULL , `State_ID` INTEGER NOT NULL , `Country_ID` INTEGER NOT NULL , `About` VARCHARACTER (?) NOT NULL , `Host_since` DATE NOT NULL , `Response_Time` VARCHARACTER (?) NOT NULL , `Acceptance_Rate` INTEGER , `Listings_count` INTEGER , `License_Number` VARCHARACTER (?) NOT NULL UNIQUE , `Verification_status` INTEGER NOT NULL , FOREIGN KEY ( `State_ID` ) REFERENCES `State` ( `State_ID` ) , FOREIGN KEY ( `Country_ID` ) REFERENCES `Country` ( `Country_ID` ) , FOREIGN KEY ( `Verification_status` ) REFERENCES `Verification` ( `Verification_ID` ) )",,1,0,0,80594.60,80594.60,80594.60,0,0.0,0,0.0,0,0,0,0,4703c821a672950d018ec0a54c0d74dbf331c9a31cbce5738f5c3b75926b27f8
ALTER TABLE `Bookings` ADD CONSTRAINT `FK_CustomerID` FOREIGN KEY ( `Customer_ID` ) REFERENCES `Customer` ( `Customer_ID` ),,1,0,0,79596.50,79596.50,79596.50,0,0.0,0,0.0,0,0,0,0,dce51cc2af553aeb74899fbaddb9a754375f718b60273d7c986eb2391c5db5e2
ALTER TABLE `Bookings` ADD CONSTRAINT `FK_ListingID` FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ),,1,0,0,77735.80,77735.80,77735.80,0,0.0,0,0.0,0,0,0,0,f55500a1de778895a61bb4481a88e88a763ce2f2a9e5099ca39dee488a02cca2
SHOW FULL FIELDS FROM `sjsu_rental_database` . `amenities`,,11,0,0,77659.60,41467.80,7059.90,22,2.0,143,13.0,11,0,22,0,73c3b4d516551f6605539aeeed613f68675abe6dbcf1bcfa04701080cf42eeb4
DROP TABLE `Amenities_Provided`,,1,0,0,68989.90,68989.90,68989.90,0,0.0,0,0.0,0,0,0,0,a9c81f60136cf3d4849d27fee28679c9f1a7303286e8151aad8f42be9dfd5ecf
SHOW FULL FIELDS FROM `sjsu_rental_database` . `customer`,,16,0,0,67406.00,6102.00,4212.80,256,16.0,1104,69.0,16,0,256,0,44e7ebe6412fb9276ce9b82362217b1552d69c94fff40ad3fffc3494d53481ca
"CREATE TABLE `Amenities_Provided` ( `Listing_ID` INTEGER NOT NULL UNIQUE , `Amenities_ID` INTEGER NOT NULL UNIQUE , FOREIGN KEY ( `Amenities_ID` ) REFERENCES `Amenities` ( `Amenities_ID` ) , FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ) , CONSTRAINT `PK_Amenities_Prov` PRIMARY KEY ( `Listing_ID` , `Amenities_ID` ) )",,1,0,0,66448.20,66448.20,66448.20,0,0.0,0,0.0,0,0,0,0,0c78b51750f550147f0ac1ab35dd1b1a12785a7b95bf159a7b1e7777d77313ae
SHOW FULL FIELDS FROM `sjsu_rental_database` . `country`,,15,0,0,64657.70,24608.90,4310.50,30,2.0,195,13.0,15,0,30,0,c92346efab1f1a25df1c168d5369a5d0eee94937e069cfbfe777d5cf8d84acee
SHOW FULL FIELDS FROM `sjsu_rental_database` . `amenities`,,15,0,0,64145.50,16506.90,4276.30,30,2.0,195,13.0,15,0,30,0,73c3b4d516551f6605539aeeed613f68675abe6dbcf1bcfa04701080cf42eeb4
"CREATE TABLE `Reviews` ( `ID` INTEGER PRIMARY KEY NOT NULL UNIQUE , `Reviewer_ID` INTEGER NOT NULL , `Reviewer_Name` VARCHARACTER (?) NOT NULL , `Listing_ID` INTEGER NOT NULL , `Rating` INTEGER , `Comments` VARCHARACTER (?) , `Review_Date` DATE NOT NULL , FOREIGN KEY ( `Reviewer_ID` ) REFERENCES `Customer` ( `Customer_ID` ) , FOREIGN KEY ( `Listing_ID` ) REFERENCES `Listings` ( `Listings_ID` ) )",,1,0,0,62420.50,62420.50,62420.50,0,0.0,0,0.0,0,0,0,0,78e947d9f551c7f3b4d315f63b252aec2a88324470282c44ea29bbfe0e9c12ff
"CREATE TABLE `Customer` ( `Customer_ID` INTEGER PRIMARY KEY NOT NULL , `First_Name` VARCHARACTER (?) NOT NULL , `Last_Name` VARCHARACTER (?) NOT NULL , `Gender` CHARACTER (?) NOT NULL , `Email_ID` VARCHARACTER (?) NOT NULL UNIQUE , `Primary_Phone` VARCHARACTER (?) NOT NULL UNIQUE , `Secondary_Phone` VARCHARACTER (?) , `Age` INTEGER , `Gov_ID` VARCHARACTER (?) NOT NULL UNIQUE , `Apt_no` VARCHARACTER (?) , `Street_Address` VARCHARACTER (?) , `City` VARCHARACTER (?) , `State_ID` INTEGER , `Zip_Code` VARCHARACTER (?) , `Country_ID` INTEGER , `Verification_status` INTEGER NOT NULL , FOREIGN KEY ( `State_ID` ) REFERENCES `State` ( `State_ID` ) , FOREIGN KEY ( `Country_ID` ) REFERENCES `Country` ( `Country_ID` ) , FOREIGN KEY ( `Verification_status` ) REFERENCES `Verification` ( `Verification_ID` ) )",,1,0,0,61042.80,61042.80,61042.80,0,0.0,0,0.0,0,0,0,0,13a338aa9ebd64c6b588f1263d67c7cd12228867c2b1945e668a04d74b6d0da8
"CREATE TABLE `Payment` ( `Payment_ID` INTEGER NOT NULL UNIQUE , `Customer_ID` INTEGER NOT NULL UNIQUE , `Booking_ID` INTEGER NOT NULL UNIQUE , `Payment_Mode` VARCHARACTER (?) NOT NULL , `Comments` VARCHARACTER (?) , FOREIGN KEY ( `Customer_ID` ) REFERENCES `Customer` ( `Customer_ID` ) , FOREIGN KEY ( `Booking_ID` ) REFERENCES `Bookings` ( `Booking_ID` ) , CONSTRAINT `PK_Payment` PRIMARY KEY ( `Payment_ID` , `Customer_ID` , `Booking_ID` ) )",,1,0,0,60509.30,60509.30,60509.30,0,0.0,0,0.0,0,0,0,0,10669f77f5ebcf2ae720875f8da4aa55001192a0522e4753b761467d41c22da6
"SELECT * FROM `sjsu_rental_database` . `payment` LIMIT ?, ...",*,17,0,0,60098.10,51161.90,3535.10,74,4.0,74,4.0,0,0,0,0,f58236768c1ed729c3bc0bc932ea26203ce4022e8314127bbe7473307230fd7e
"CREATE TABLE `Listings` ( `Listings_ID` INTEGER PRIMARY KEY NOT NULL UNIQUE , NAME VARCHARACTER (?) NOT NULL , `Host_ID` INTEGER NOT NULL , `Neighbourhood` VARCHARACTER (?) NOT NULL , `Neighbourhood_Group` VARCHARACTER (?) NOT NULL , `City` VARCHARACTER (?) NOT NULL , `State_ID` INTEGER NOT NULL , `Country_ID` INTEGER NOT NULL , `Property_Type` VARCHARACTER (?) NOT NULL , `Allowed_Occupants` INTEGER NOT NULL , `Min_Booking_Days` INTEGER NOT NULL , `Max_Booking` INTEGER NOT NULL , `1B1B_Units` INTEGER NOT NULL , `1B1B_Price` INTEGER NOT NULL , `2B1B_Units` INTEGER NOT NULL , `2B1B_Price` INTEGER NOT NULL , `2B1.5B_Units` INTEGER NOT NULL , `2B1.5B_Price` INTEGER NOT NULL , `2B2B_Units` INTEGER NOT NULL , `2B2B_Price` INTEGER NOT NULL , `3B2B_Units` INTEGER NOT NULL , `3B2B_Price` INTEGER NOT NULL , `3B2.5B_Units` INTEGER NOT NULL , `3B2.5B_Price` INTEGER NOT NULL , `3B3B_Units` INTEGER NOT NULL , `3B3B_Price` INTEGER NOT NULL , `4B3B_Units` INTEGER NOT NULL , `4B3B_Price` INTEGER NOT NULL , `4B3.5B_Units` INTEGER NOT NULL , `4B3.5B_Price` INTEGER NOT NULL , `4B4B_Units` INTEGER NOT NULL , `4B4B_Price` INTEGER NOT NULL , `Construction_Year` YEAR NOT NULL , `Images_URL` VARCHARACTER (?) NOT NULL , `Custom_Unit_Desc` VARCHARACTER (?) , `Custom_Unit_Available` INTEGER , `Custom_unit_price` DECIMAL (...) , FOREIGN KEY ( `State_ID` ) REFERENCES `State` ( `State_ID` ) , FOREIGN KEY ( `Country_ID` ) REFERENCES `Country` ( `Country_ID` ) , FOREIGN KEY ( `Host_ID` ) REFERENCES HOST (",,1,0,0,59793.20,59793.20,59793.20,0,0.0,0,0.0,0,0,0,0,2b59f9ac4351bb4ab0ee509338883555329549f6123a514fc5f6d584fffaea3f
INSERT INTO `sjsu_rental_database` . `reviews` VALUES (...),,5,0,0,59367.80,22269.10,11873.50,0,0.0,0,0.0,0,0,0,0,fc29e20489b62c3fbbeaa1b05672691d4deb10c8dba873146f21b9daf5a7f19f
SHOW FULL FIELDS FROM `sjsu_rental_database` . `host`,,15,0,0,58533.90,6127.70,3902.20,255,17.0,1095,73.0,15,0,255,0,9290e022b98324d984f501ef9cd459c8deed96b4f7ada3e06ffc8dd92a0d25f0
"CREATE TABLE `Amenities` ( `Amenities_ID` INTEGER NOT NULL PRIMARY KEY UNIQUE , NAME VARCHARACTER (?) NOT NULL )",,1,0,0,57966.70,57966.70,57966.70,0,0.0,0,0.0,0,0,0,0,4d296fec73bc3b1bd870896ad3f47c65c684ffa28d5406cab7fdfe5ffbb70720
CREATE SYSTEM_USER ? IDENTIFIED BY ?,,2,0,0,56667.90,49889.80,28333.90,0,0.0,0,0.0,0,0,0,0,26611b7ffd3da7a8899ff5d662d24eb4eed4108c399e80051aef598079be4d6a
SHOW INDEX FROM `sjsu_rental_database` . `listings`,,20,0,0,55102.60,9459.10,2755.10,100,5.0,1395,70.0,20,0,100,0,0ea300a7cf3c103dd8389db7783228de0b0415e0bbb5b3e7e8de38d9dc3e239e
SHOW FULL FIELDS FROM `sjsu_rental_database` . `bookings`,,15,0,0,54888.50,4866.20,3659.20,140,9.0,645,43.0,15,0,140,0,da8334b7f984be81a188fb74b7b97d1b64c7853b711d221676cc60a363e4380c
SHOW COLLATION,*,7,0,0,54574.00,14177.60,7796.20,2002,286.0,4291,613.0,7,0,2002,0,f547ffac4814e362ef0421e4a45a6137d4be89fbb5ba419e1813d13647bcb53a
"CREATE TABLE `Trigger_Phone_Update` ( `old_phone` VARCHARACTER (?) , `new_phone` VARCHARACTER (?) , CONSTRAINT `PK_Trigger` PRIMARY KEY ( `old_phone` , `new_phone` ) )",,1,0,0,54516.70,54516.70,54516.70,0,0.0,0,0.0,0,0,0,0,d9d8ea3cd23278ba334d7139cdf1976f6e820c92695320d833d9ff88e522a5ce
SHOW INDEX FROM `sjsu_rental_database` . `payment`,,19,0,0,53840.80,18994.40,2833.70,103,5.0,710,37.0,19,0,103,0,9245d063f77122f09614c3637b5b681f8763c23cb322972f647d41d0c56e79d9
SELECT * FROM `information_schema` . `tables` WHERE `table_schema` = ? AND TABLE_NAME = ?,,8,0,0,53541.60,41033.20,6692.70,8,1.0,36,5.0,0,0,0,0,16a6de52b011569ab558d475938e71d65302d8ba19d59a5b0069f531c82824ad
SHOW FULL TABLES FROM `sjsu_rental_database`,,4,0,0,50711.90,24692.80,12677.90,44,11.0,152,38.0,0,0,44,0,d7beb8fa2b0049a305aa89364f53f291b0f914d67cb1b9a5c6451ae82f1db598
SHOW TABLES,,3,0,0,50610.10,47257.90,16870.00,33,11.0,114,38.0,0,0,33,0,f5f9379fdd2f199049426ccb51bcabedfca9117cc96c58f51b155f7f2390450f
SHOW INDEX FROM `sjsu_rental_database` . `bookings`,,23,0,0,49726.20,11069.90,2162.00,115,5.0,982,43.0,23,0,115,0,6497192ec6286f2025048063d8bad21ee4824eee8b18607382b1fb3c35b96dee
SHOW FULL FIELDS FROM `hw_4` . `employee`,,17,0,0,48045.10,4879.50,2826.10,187,11.0,833,49.0,17,0,187,0,13ad9bdf312410a31f4425d67965d1378cc71c7765d53ffb826aa8db938fcb18
SHOW FULL FIELDS FROM `sjsu_rental_database` . `listings`,,11,0,0,47743.90,6388.70,4340.30,407,37.0,1683,153.0,11,0,407,0,30dd9d15f8e44a7d7125f888dbbd3e650945f3cafc3ada4a0ed57f0cf19495fc
"INSERT INTO `sjsu_rental_database` . `amenities_provided` VALUES (...) /* , ... */",,3,0,0,46670.20,21690.90,15556.70,0,0.0,0,0.0,0,0,0,0,67cf484fae7e8fb5136bc3e38506cf20db81576a43a397889c459624db50a726
SHOW FULL FIELDS FROM `sjsu_rental_database` . `amenities_provided`,,15,0,0,46315.00,4324.10,3087.60,30,2.0,195,13.0,15,0,30,0,80eb1b534cf5f681dbc0cd9105b29e97018f447c0d169e2acf85b84734a97c74
SHOW FULL FIELDS FROM `sjsu_rental_database` . `reviews`,,15,0,0,45677.90,6103.90,3045.10,105,7.0,495,33.0,15,0,105,0,0734fcf3bffda9977876284ee16907d9d1c711c715036978045f339313433a89
SHOW FULL FIELDS FROM `hw_4` . `customer`,,17,0,0,44334.20,4981.80,2607.80,119,7.0,561,33.0,17,0,119,0,8c850b41f9a33f6f1903dc3fc4d21b179457dc951ba34419256351daf8d02f58
"SELECT * FROM `sjsu_rental_database` . `listings` LIMIT ?, ...",*,17,0,0,43961.90,22095.70,2585.90,163,10.0,163,10.0,0,0,0,0,4e51e5dd670acd4c70a6ab8b89e0024e444f9dc50444f907597d0d0731ba2177
INSERT INTO `sjsu_rental_database` . `listings` VALUES (...),,8,3,0,43854.70,23690.10,5481.80,0,0.0,0,0.0,0,0,0,0,5d92f56b287fc2361a3ad53452a29ca73a85ad69d4b60b1e10f90300b1ff04b7
SHOW FULL FIELDS FROM `hw_4` . `book`,,17,0,0,43804.10,4996.10,2576.70,102,6.0,493,29.0,17,0,102,0,896f7b1790e5e48686ea05acde8fcb827e609a69657327fb6b51cee6cbd7b858
SHOW FULL FIELDS FROM `hw_4` . `checkout`,,17,0,0,42215.60,4632.40,2483.20,102,6.0,493,29.0,17,0,102,0,9e7ba6963108e1dc5cd40c99784a88fac92ee0bad1fa853929adc02298ea32ea
"SELECT `constraint_name` , `constraint_schema` , `table_name` , `column_name` , `referenced_table_schema` , `referenced_table_name` , `referenced_column_name` FROM `information_schema` . `KEY_COLUMN_USAGE` WHERE ( ( `REFERENCED_TABLE_SCHEMA` = ? AND `referenced_table_name` = ? ) OR ( `TABLE_SCHEMA` = ? AND TABLE_NAME = ? ) ) AND `REFERENCED_TABLE_NAME` IS NOT NULL ORDER BY TABLE_NAME , COLUMN_NAME",*,7,0,0,41956.20,11458.80,5993.70,24,3.0,7615,1088.0,7,0,24,0,04fb04953630be9e39a49a2afcf18e0d8a0a2b42d6242b1ff2e2375fe1fb640e
SELECT * FROM `sys` . `x$memory_global_total`,*,1,0,0,40749.40,40749.40,40749.40,1,1.0,506,506.0,1,0,0,0,e418fb01c73ec9d82ddb0af90a018615275c7947eb9da1f64e49ed81e706961e
UPDATE `reviews` SET `Reviewer_ID` = ? WHERE `Reviewer_Name` LIKE ?,,2,1,0,40267.30,21006.40,20133.60,0,0.0,2,1.0,0,0,0,0,5e5259bdc9c2f6e3704c2af43799a792b9b33612f8fe275bff2f24a39dc8e574
ALTER TABLE `Verification` MODIFY `Category` VARCHARACTER (?) NOT NULL,,1,0,0,39527.50,39527.50,39527.50,0,0.0,0,0.0,0,0,0,0,dc9d05f144a9cfaeac4aabb38beb832b84a6e9bb7baf9106fd85083d2deebc4b
SHOW FULL FIELDS FROM `sjsu_rental_database` . `payment`,,15,0,0,38927.80,4060.60,2595.10,75,5.0,375,25.0,15,0,75,0,f92330bde6d546eb5641841ad65c5cfe56ef7fe6e313aa0003462bbde178ec20
SHOW FULL FIELDS FROM `hw_4` . `line`,,17,0,0,38292.10,3953.10,2252.40,85,5.0,425,25.0,17,0,85,0,aa61c4637e545e501e7cc4b8a4df947e52ed54d58b74d7f34e597ad2419f766a
"CREATE TRIGGER `CUSTOMER_PRIMARY_PHONE_UPDATE` AFTER UPDATE ON `sjsu_rental_database` . `customer` FOR EACH ROW BEGIN INSERT INTO `Trigger_Phone_Update` VALUES ( `OLD` . `Primary_Phone` , `NEW` . `Primary_Phone` ) ; END",,1,0,0,38161.90,38161.90,38161.90,0,0.0,0,0.0,0,0,0,0,685224bb1947b45b56f3948167caacb0e0b7319ba7940433994a968ca864d79b
SHOW FULL FIELDS FROM `sjsu_rental_database` . `customer`,,11,0,0,38142.90,6971.20,3467.50,176,16.0,759,69.0,11,0,176,0,44e7ebe6412fb9276ce9b82362217b1552d69c94fff40ad3fffc3494d53481ca
"CREATE TABLE `Verification` ( `Verification_ID` INTEGER PRIMARY KEY NOT NULL , `Category` VARCHARACTER (?) )",,1,0,0,38070.00,38070.00,38070.00,0,0.0,0,0.0,0,0,0,0,107da0e03f421b7f1e557fb857455bfbfaad1a1ccdf11691af6a00f70965b0fc
SET `autocommit` = ?,,35,0,0,36578.40,11178.10,1045.00,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SHOW FULL FIELDS FROM `hw_4` . `product`,,17,0,0,36369.60,4155.20,2139.30,136,8.0,629,37.0,17,0,136,0,9e510d4d6c196367d413b47d17a4213915ce9f5b41017608fecac05433292945
"SELECT `LOGFILE_GROUP_NAME` , `FILE_NAME` , `TOTAL_EXTENTS` , INITIAL_SIZE , ENGINE , `EXTRA` FROM `INFORMATION_SCHEMA` . `FILES` WHERE ENGINE = ? AND `FILE_TYPE` = ? AND `FILE_NAME` IS NOT NULL AND `LOGFILE_GROUP_NAME` IS NOT NULL AND `LOGFILE_GROUP_NAME` IN ( SELECT DISTINCTROW `LOGFILE_GROUP_NAME` FROM `INFORMATION_SCHEMA` . `FILES` WHERE ENGINE = ? AND `FILE_TYPE` = ? AND `TABLESPACE_NAME` IN ( SELECT DISTINCTROW `TABLESPACE_NAME` FROM `INFORMATION_SCHEMA` . `PARTITIONS` WHERE `TABLE_SCHEMA` IN (...) ) ) GROUP BY `LOGFILE_GROUP_NAME` , `FILE_NAME` , ENGINE , `TOTAL_EXTENTS` , INITIAL_SIZE ORDER BY `LOGFILE_GROUP_NAME`",*,2,0,0,36361.20,29528.90,18180.60,0,0.0,226,113.0,4,0,0,0,c1edd14f9449d496f005fe2c90bfe1559b9a476d2e458134c218f132632b7c78
"CREATE TRIGGER `CUSTOMER_PRIMARY_PHONE_UPDATE` AFTER UPDATE ON `sjsu_rental_database` . `Trigger_Phone_Update` FOR EACH ROW BEGIN INSERT INTO `Trigger_Phone_Update` VALUES ( `OLD` . `Primary_Phone` , `NEW` . `Primary_Phone` ) ; END",,3,3,0,36282.50,34208.10,12094.10,0,0.0,0,0.0,0,0,0,0,562c3b3842832b46a9203d29ac2a53d0cc3b04a08cf8894069dbd5ec030ac6a6
SHOW FULL FIELDS FROM `hw_4` . `invoice`,,17,0,0,36237.00,3876.00,2131.50,51,3.0,289,17.0,17,0,51,0,834092e1d65a68b3b932b3058c6a043b71eaf75e4be6e00f8e72598a33ab7429
SHOW FULL FIELDS FROM `sjsu_rental_database` . `bookings`,,11,0,0,35399.40,4371.80,3218.10,107,10.0,486,44.0,11,0,107,0,da8334b7f984be81a188fb74b7b97d1b64c7853b711d221676cc60a363e4380c
SHOW FULL FIELDS FROM `hw_4` . `trigger_phone_update`,,9,0,0,34971.90,18106.50,3885.70,18,2.0,117,13.0,9,0,18,0,8f74b32eb0bb806a996b6a88b2981ecc3196b21d2f888a4d2c6694005dbedfd9
SHOW FULL FIELDS FROM `hw_4` . `vendor`,,17,0,0,34162.20,4032.40,2009.50,119,7.0,561,33.0,17,0,119,0,eba36116efffd7b6e61c5312d3a0a204f74aeeb474f4e3e806eece27992c0d30
SHOW FULL FIELDS FROM `sjsu_rental_database` . `amenities_provided`,,11,0,0,33975.90,5774.70,3088.70,22,2.0,143,13.0,11,0,22,0,80eb1b534cf5f681dbc0cd9105b29e97018f447c0d169e2acf85b84734a97c74
