Top File I/O Activity Report
File,Total IOs (#),Read Requests (#),Total Read IO,Avg Read IO,Write Requests (#),Total Write IO,Avg Write IO,Write %
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo27_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo28_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo29_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo30_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo31_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo32_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo33_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo34_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo35_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo36_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo37_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo38_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo39_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo40_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo41_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo42_tmp,3145728,0,0,0,3,3145728,1048576,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_redo\#ib_redo11,2417152,7,68608,9801,1427,2348544,1646,97.16
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\listings.ibd,1556480,0,0,0,83,1556480,18753,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\bookings.ibd,1294336,0,0,0,67,1294336,19318,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_10.ibt,917504,0,0,0,32,917504,28672,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\payment.ibd,884736,0,0,0,42,884736,21065,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\reviews.ibd,786432,0,0,0,36,786432,21845,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\host.ibd,737280,0,0,0,33,737280,22342,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\amenities_provided.ibd,688128,0,0,0,30,688128,22938,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\customer.ibd,638976,0,0,0,27,638976,23666,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\amenities.ibd,393216,0,0,0,12,393216,32768,100.00
C:\Program Files\MySQL\MySQL Server 8.0\share\english\errmsg.sys,369516,3,369516,123172,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\verification.ibd,360448,0,0,0,10,360448,36045,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\state.ibd,344064,0,0,0,9,344064,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\country.ibd,344064,0,0,0,9,344064,38229,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\trigger_phone_update.ibd,327680,0,0,0,8,327680,40960,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sjsu_rental_database\trigger_phone_update.ibd,327680,0,0,0,8,327680,40960,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_1.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_2.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_3.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_4.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_5.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_6.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_7.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_8.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\#innodb_temp\temp_9.ibt,196608,0,0,0,4,196608,49152,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\orders.ibd,196608,9,196608,21845,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\suppliers.ibd,180224,8,180224,22528,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\categories.ibd,180224,8,180224,22528,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\products.ibd,163840,7,163840,23406,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\customercustomerdemo.ibd,163840,7,163840,23406,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\119LATITUDE5410-bin.000008,157785,21,157785,7514,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\order@0020details.ibd,147456,6,147456,24576,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\region.ibd,147456,6,147456,24576,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\shippers.ibd,147456,6,147456,24576,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\territories.ibd,147456,6,147456,24576,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\employeeterritories.ibd,131072,5,131072,26214,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\employees.ibd,98304,3,98304,32768,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sys\sys_config.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\actor.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\address.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\category.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\city.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\country.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\customer.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film_actor.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film_category.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\film_text.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_being_deleted.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_being_deleted_cache.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_config.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_deleted.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_deleted_cache.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_00000000000000b5_index_1.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_00000000000000b5_index_2.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_00000000000000b5_index_3.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_00000000000000b5_index_4.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_00000000000000b5_index_5.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\fts_0000000000000430_00000000000000b5_index_6.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\inventory.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\language.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\payment.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\rental.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\staff.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sakila\store.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\world\city.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\world\country.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\world\countrylanguage.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\company\employee_department.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_invoicing\payment_methods.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_invoicing\clients.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_invoicing\invoices.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_invoicing\payments.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\products.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\shippers.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\customers.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\order_statuses.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\orders.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\order_items.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_store\order_item_notes.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_hr\offices.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_hr\employees.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\sql_inventory\products.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\invoicing\payment_methods.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\invoicing\clients.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\invoicing\invoices.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\invoicing\payments.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\store\products.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\store\shippers.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\store\customers.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\store\order_statuses.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\store\orders.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\store\order_items.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\employee\employees.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\alex_analyst_sql_tutorial\employeedemographics.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\alex_analyst_sql_tutorial\employeesalary.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\author.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\patron.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\book.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\checkout.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\writes.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\customer.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\invoice.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\vendor.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\product.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\employee.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\hw_4\line.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\practice\student.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\customerdemographics.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\northwind\customers.ibd,65536,1,65536,65536,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\119LATITUDE5410-bin.000009,46991,0,0,0,99,46991,475,100.00
C:\Program Files\MySQL\MySQL Server 8.0\share\charsets\Index.xml,19474,1,19474,19474,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\119LATITUDE5410-bin.000005,8192,1,8192,8192,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\119LATITUDE5410-bin.index,290,2,290,145,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\119LATITUDE5410-slow.log,196,0,0,0,1,196,196,100.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\auto.cnf,56,3,56,19,0,0,0,0.00
C:\ProgramData\MySQL\MySQL Server 8.0\Data\119Latitude5410.pid,5,0,0,0,1,5,5,100.00
